%Photon   	Photoel.	
%Energy   	Absorb. 	
1.000E-03 1.567E+03 
1.500E-03 5.333E+02 
1.839E-03 3.071E+02 
1.839E-03 3.191E+03 
2.000E-03 2.775E+03 
3.000E-03 9.767E+02 
4.000E-03 4.514E+02 
5.000E-03 2.438E+02 
6.000E-03 1.458E+02 
7.000E-03 9.388E+01 
8.000E-03 6.379E+01 
9.000E-03 4.521E+01 
1.000E-02 3.315E+01 
1.100E-02 2.499E+01 
1.200E-02 1.928E+01 
1.300E-02 1.517E+01 
1.400E-02 1.213E+01 
1.500E-02 9.848E+00 
1.600E-02 8.096E+00 
1.700E-02 6.730E+00 
1.800E-02 5.651E+00 
1.900E-02 4.787E+00 
2.000E-02 4.089E+00 
2.100E-02 3.518E+00 
2.200E-02 3.048E+00 
2.300E-02 2.656E+00 
2.400E-02 2.328E+00 
2.500E-02 2.051E+00 
2.600E-02 1.815E+00 
2.700E-02 1.614E+00 
2.800E-02 1.440E+00 
2.900E-02 1.291E+00 
3.000E-02 1.161E+00
