% data from measurements 12/20/2014
% K column is a placeholder!
% ID gap [mm]      K              E_1 [keV]
  5.1996000e+000  1.0000000e+000  1.3658000e+000
  5.4995000e+000  1.0000000e+000  1.4599632e+000
  5.7001000e+000  1.0000000e+000  1.5315868e+000
  5.9005000e+000  1.0000000e+000  1.6113873e+000
  6.0050000e+000  1.0000000e+000  1.6524725e+000
  6.2008000e+000  1.0000000e+000  1.7278941e+000
  6.4006000e+000  1.0000000e+000  1.8053618e+000
  6.6006000e+000  1.0000000e+000  1.8852249e+000
  6.8009000e+000  1.0000000e+000  1.9638609e+000
  7.0005000e+000  1.0000000e+000  2.0421876e+000
  7.2002000e+000  1.0000000e+000  2.1205170e+000
  7.4000000e+000  1.0000000e+000  2.1973141e+000
  7.6007000e+000  1.0000000e+000  2.2761122e+000
  7.8001000e+000  1.0000000e+000  2.3578761e+000
  8.0007000e+000  1.0000000e+000  2.4261764e+000
  8.2000000e+000  1.0000000e+000  2.5002560e+000
  8.4006000e+000  1.0000000e+000  2.5724951e+000
  8.5995000e+000  1.0000000e+000  2.6422095e+000
  8.8006000e+000  1.0000000e+000  2.7124427e+000
  8.9997000e+000  1.0000000e+000  2.7802996e+000
  9.2005000e+000  1.0000000e+000  2.8460185e+000
  9.3998000e+000  1.0000000e+000  2.9095664e+000
  9.6007000e+000  1.0000000e+000  2.9725353e+000
  9.7995000e+000  1.0000000e+000  3.0327199e+000
  1.0000600e+001  1.0000000e+000  3.0915934e+000
